season,team,elites,league_position,talent_position
'12-13',TOR,0,20,26
'12-13',WAS,0,24,27
'12-13',IND,0,9,28
'12-13',CHA,0,29,29
'12-13',ORL,0,30,30
'13-14',BRK,5,14,1
'13-14',MIA,3,6,2
'13-14',OKC,3,2,3
'13-14',SAS,3,1,4
'13-14',NYK,3,19,5
'13-14',LAC,2,3,6
'13-14',CLE,2,22,7
'13-14',HOU,2,5,8
'13-14',DET,2,23,9
'13-14',DAL,2,10,10
'13-14',GSW,2,8,11
'13-14',CHA,2,16,12
'13-14',ATL,2,18,13
'13-14',POR,2,7,14
'13-14',NOP,1,21,15
'13-14',WAS,1,15,16
'13-14',MIN,1,17,17
'13-14',SAC,1,24,18
'13-14',IND,1,4,19
'13-14',DEN,1,20,20
'13-14',MEM,1,9,21
'13-14',TOR,0,12,22
'13-14',CHI,0,11,23
'13-14',ORL,0,28,24
'13-14',MIL,0,30,25
'13-14',BOS,0,26,26
'13-14',UTA,0,27,27
'13-14',PHO,0,13,28
'13-14',LAL,0,25,29
'13-14',PHI,0,29,30
'14-15',PHO,4,17,1
'14-15',CLE,3,7,2
'14-15',OKC,3,14,3
'14-15',HOU,3,3,4
'14-15',MIA,3,21,5
'14-15',SAS,3,6,6
'14-15',LAC,2,4,7
'14-15',DAL,2,10,8
'14-15',BRK,2,18,9
'14-15',GSW,2,1,10
'14-15',ATL,2,2,11
'14-15',CHI,2,9,12
'14-15',DEN,2,24,13
'14-15',NOP,1,13,14
'14-15',SAC,1,25,15
'14-15',NYK,1,29,16
'14-15',CHO,1,22,17
'14-15',DET,1,23,18
'14-15',POR,1,8,19
'14-15',MIN,1,30,20
'14-15',BOS,1,16,21
'14-15',TOR,1,11,22
'14-15',MEM,1,5,23
'14-15',WAS,1,12,24
'14-15',LAL,1,27,25
'14-15',UTA,1,20,26
'14-15',MIL,0,15,27
'14-15',IND,0,19,28
'14-15',ORL,0,26,29
'14-15',PHI,0,28,30
'15-16',OKC,3,5,1
'15-16',LAC,3,6,2
'15-16',MIA,3,10,3
'15-16',SAS,3,2,4
'15-16',UTA,3,19,5
'15-16',ATL,3,7,6
'15-16',NOP,2,25,7
'15-16',GSW,2,1,8
'15-16',CLE,2,3,9
'15-16',SAC,2,23,10
'15-16',CHI,2,16,11
'15-16',POR,2,13,12
'15-16',HOU,1,17,13
'15-16',BRK,1,28,14
'15-16',MEM,1,15,15
'15-16',ORL,1,20,16
'15-16',IND,1,11,17
'15-16',NYK,1,24,18
'15-16',DET,1,12,19
'15-16',MIL,1,22,20
'15-16',TOR,1,4,21
'15-16',BOS,1,8,22
'15-16',PHO,1,27,23
'15-16',WAS,1,18,24
'15-16',MIN,1,26,25
'15-16',LAL,1,29,26
'15-16',CHO,1,9,27
'15-16',DAL,0,14,28
'15-16',DEN,0,21,29
'15-16',PHI,0,30,30
'16-17',GSW,3,1,1
'16-17',SAS,3,2,2
'16-17',LAC,3,6,3
'16-17',NOP,3,21,4
'16-17',TOR,3,7,5
'16-17',OKC,2,10,6
'16-17',CLE,2,5,7
'16-17',MIN,2,24,8
'16-17',DEN,2,18,9
'16-17',CHI,2,15,10
'16-17',BOS,2,4,11
'16-17',DET,2,19,12
'16-17',MIA,1,17,13
'16-17',HOU,1,3,14
'16-17',SAC,1,23,15
'16-17',POR,1,16,16
'16-17',MIL,1,14,17
'16-17',BRK,1,30,18
'16-17',UTA,1,8,19
'16-17',ATL,1,11,20
'16-17',ORL,1,26,21
'16-17',IND,1,13,22
'16-17',CHO,1,20,23
'16-17',NYK,1,25,24
'16-17',PHO,1,29,25
'16-17',WAS,1,9,26
'16-17',MEM,1,12,27
'16-17',LAL,0,28,28
'16-17',DAL,0,22,29
'16-17',PHI,0,27,30
'17-18',GSW,3,3,1
'17-18',HOU,3,1,2
'17-18',CLE,3,6,3
