player,team,rating,minutes,season
Jonjo Shelvey,Liverpool,6.25,321,10-11
Jonjo Shelvey,Liverpool,6.45,918,12-13
Jonjo Shelvey,Liverpool,6.53,728,11-12
Jonjo Shelvey,Newcastle United,6.7,2269,17-18
Jonjo Shelvey,Newcastle United,6.72,1048,15-16
Jonjo Shelvey,Newcastle United,6.8,944,18-19
Jonjo Shelvey,Swansea,6.83,2456,14-15
Jonjo Shelvey,Swansea,6.9,1221,15-16
Jonjo Shelvey,Swansea,6.94,2476,13-14
Jonjoe Kenny,Everton,6.03,12,16-17
Jonjoe Kenny,Everton,6.77,61,15-16
Jonjoe Kenny,Everton,6.78,790,18-19
Jonjoe Kenny,Everton,6.87,1589,17-18
Jonny Evans,Leicester,6.88,1995,18-19
Jonny Evans,Manchester United,6.9,1006,10-11
Jonny Evans,Manchester United,6.95,1378,13-14
Jonny Evans,Manchester United,7.13,1091,14-15
Jonny Evans,Manchester United,7.21,2428,11-12
Jonny Evans,Manchester United,7.24,1903,12-13
Jonny Evans,Manchester United,7.37,1587,09-10
Jonny Evans,West Bromwich Albion,6.78,2273,17-18
Jonny Evans,West Bromwich Albion,6.97,2638,16-17
Jonny Evans,West Bromwich Albion,7.2,2593,15-16
Jonny Howson,Norwich,6.53,2085,13-14
Jonny Howson,Norwich,6.56,2042,12-13
Jonny Howson,Norwich,6.65,949,11-12
Jonny Howson,Norwich,6.77,2953,15-16
Jonny,Wolverhampton Wanderers,6.85,2780,18-19
Jonás Gutiérrez,Newcastle United,6.25,63,13-14
Jonás Gutiérrez,Newcastle United,6.85,2899,12-13
Jonás Gutiérrez,Newcastle United,6.93,2983,10-11
Jonás Gutiérrez,Newcastle United,6.97,3308,11-12
Jonás Gutiérrez,Newcastle United,7.34,634,14-15
Jonás Gutiérrez,Norwich,6.72,197,13-14
Jordan Amavi,Aston Villa,7.48,836,15-16
Jordan Ayew,Aston Villa,6.88,2353,15-16
Jordan Ayew,Crystal Palace,6.5,1187,18-19
Jordan Ayew,Swansea,6.67,865,16-17
Jordan Ayew,Swansea,6.91,2859,17-18
Jordan Bowery,Aston Villa,6.17,236,13-14
Jordan Bowery,Aston Villa,6.24,297,12-13
Jordan Cook,Sunderland,6.16,27,10-11
Jordan Henderson,Liverpool,6.67,1983,18-19
Jordan Henderson,Liverpool,6.67,2666,11-12
Jordan Henderson,Liverpool,6.81,1529,12-13
Jordan Henderson,Liverpool,6.95,2173,17-18
Jordan Henderson,Liverpool,7.14,1293,15-16
Jordan Henderson,Liverpool,7.14,3256,14-15
Jordan Henderson,Liverpool,7.2,3129,13-14
Jordan Henderson,Liverpool,7.3,2118,16-17
Jordan Henderson,Sunderland,6.73,2189,09-10
Jordan Henderson,Sunderland,7.05,3219,10-11
Jordan Hugill,West Ham,6.11,22,17-18
Jordan Lyden,Aston Villa,6.15,153,15-16
Jordan Pickford,Everton,6.5,3420,18-19
Jordan Pickford,Everton,6.63,3420,17-18
Jordan Pickford,Sunderland,7.02,180,15-16
Jordan Pickford,Sunderland,7.04,2610,16-17
Jordan Rhodes,Middlesbrough,6.24,208,16-17
Jordan Rossiter,Liverpool,6.35,14,15-16
Jordan Slew,Blackburn,6.0,1,11-12
Jordan Spence,West Ham,6.0,22,12-13
Jordan Spence,West Ham,6.14,2,09-10
Jordan Spence,West Ham,6.65,180,10-11
Jordan Veretout,Aston Villa,6.57,1825,15-16
Jordi Amat,Swansea,6.51,589,14-15
Jordi Amat,Swansea,6.58,1408,16-17
Jordi Amat,Swansea,6.65,461,15-16
Jordi Amat,Swansea,6.67,1246,13-14
Jordi Gómez,Sunderland,6.43,356,15-16
Jordi Gómez,Sunderland,6.74,1942,14-15
Jordi Gómez,Wigan,6.49,1515,12-13
Jordi Gómez,Wigan,6.61,1261,09-10
Jordi Gómez,Wigan,6.63,726,10-11
Jordi Gómez,Wigan,6.65,1805,11-12
Jordon Ibe,Bournemouth,6.33,796,18-19
Jordon Ibe,Bournemouth,6.36,1059,16-17
Jordon Ibe,Bournemouth,6.65,2002,17-18
Jordon Ibe,Liverpool,6.15,14,13-14
Jordon Ibe,Liverpool,6.59,1172,15-16
Jordon Ibe,Liverpool,6.63,618,14-15
Jordon Ibe,Liverpool,6.87,64,12-13
Jordon Mutch,Birmingham,6.53,244,10-11
Jordon Mutch,Cardiff,6.81,2264,13-14
Jordon Mutch,Crystal Palace,6.12,50,16-17
Jordon Mutch,Crystal Palace,6.34,799,15-16
Jordon Mutch,Crystal Palace,6.42,333,14-15
Jordon Mutch,Queens Park Rangers,6.36,519,14-15
Jordy Clasie,Southampton,6.4,1026,16-17
Jordy Clasie,Southampton,6.71,1554,15-16
Jores Okore,Aston Villa,6.74,167,13-14
Jores Okore,Aston Villa,7.01,1080,15-16
Jores Okore,Aston Villa,7.1,2009,14-15
Jorginho,Chelsea,6.88,3165,18-19
Jos Hooiveld,Southampton,6.35,270,13-14
Jos Hooiveld,Southampton,6.92,2033,12-13
Jose Baxter,Everton,5.98,12,10-11
Jose Baxter,Everton,6.02,4,09-10
Jose Baxter,Everton,6.03,11,11-12
Joselu,Newcastle United,6.41,587,18-19
Joselu,Newcastle United,6.74,1716,17-18
Joselu,Stoke,6.59,1090,15-16
Joseph Dodoo,Leicester,5.99,19,15-16
Joseph Willock,Arsenal,6.04,82,17-18
Joseph Willock,Arsenal,6.15,64,18-19
Joseph Yobo,Everton,7.01,1184,09-10
Joseph Yobo,Norwich,6.91,720,13-14
Josh Cullen,West Ham,6.0,1,15-16
Josh Cullen,West Ham,6.15,6,17-18
Josh Harrop,Manchester United,8.34,90,16-17
Josh McEachran,Chelsea,6.18,13,11-12
Josh McEachran,Chelsea,6.2,172,10-11
Josh McEachran,Swansea,6.37,125,11-12
Josh Morris,Blackburn,6.21,80,11-12
Josh Morris,Blackburn,6.27,84,10-11
Josh Murphy,Cardiff,6.54,1826,18-19
Josh Murphy,Norwich,6.03,131,13-14
Josh Onomah,Tottenham,6.07,18,16-17
Josh Onomah,Tottenham,6.12,78,15-16
Josh Sims,Southampton,6.17,210,18-19
Josh Sims,Southampton,6.28,161,17-18
Josh Sims,Southampton,6.42,206,16-17
Josh Tymon,Hull,6.3,325,16-17
Josh Tymon,Stoke,5.79,163,17-18
Josh Vela,Bolton,6.04,38,11-12
Joshua King,Bournemouth,6.71,1927,15-16
Joshua King,Bournemouth,6.88,2456,17-18
Joshua King,Bournemouth,6.96,2974,18-19
Joshua King,Bournemouth,7.08,2721,16-17
José Bosingwa,Chelsea,6.82,1263,10-11
José Bosingwa,Chelsea,6.97,2119,11-12
José Bosingwa,Chelsea,7.4,649,09-10
José Bosingwa,Queens Park Rangers,6.82,1832,12-13
José Campaña,Crystal Palace,6.44,312,13-14
José Cañas,Swansea,6.6,1670,13-14
José Crespo,Aston Villa,5.98,90,15-16
José Enrique,Liverpool,6.34,203,14-15
José Enrique,Liverpool,6.84,2992,11-12
José Enrique,Liverpool,6.85,602,13-14
José Enrique,Liverpool,7.01,2258,12-13
José Enrique,Newcastle United,6.97,3126,10-11
José Fonte,Southampton,6.81,1530,16-17
José Fonte,Southampton,6.9,2312,12-13
José Fonte,Southampton,7.03,3169,15-16
José Fonte,Southampton,7.2,3330,14-15
José Fonte,Southampton,7.21,3181,13-14
José Fonte,West Ham,6.87,1405,16-17
José Fonte,West Ham,6.89,690,17-18
José Holebas,Watford,6.76,2382,17-18
José Holebas,Watford,6.92,946,15-16
José Holebas,Watford,6.93,2910,16-17
José Holebas,Watford,7.0,2394,18-19
José Izquierdo,Brighton,6.38,794,18-19
José Izquierdo,Brighton,6.62,1989,17-18
José Manuel Jurado,Watford,6.76,2027,15-16
José Pozo,Manchester City,6.11,137,14-15
Jozy Altidore,Hull,6.42,1467,09-10
Jozy Altidore,Sunderland,6.15,304,14-15
Jozy Altidore,Sunderland,6.45,1778,13-14
João Moutinho,Wolverhampton Wanderers,7.06,3040,18-19
João Mário,West Ham,6.74,1027,17-18
João Teixeira,Liverpool,6.11,3,15-16
João Teixeira,Liverpool,6.11,8,13-14
Juan Cala,Cardiff,6.83,585,13-14
Juan Camilo Zuñiga,Watford,6.38,815,16-17
Juan Carlos Paredes,Watford,6.37,766,15-16
Juan Cuadrado,Chelsea,6.36,26,15-16
Juan Cuadrado,Chelsea,6.37,312,14-15
Juan Foyth,Tottenham,6.93,890,18-19
Juan Iturbe,Bournemouth,6.34,56,15-16
Juan Mata,Chelsea,6.89,834,13-14
Juan Mata,Chelsea,7.28,2749,12-13
Juan Mata,Chelsea,7.31,2533,11-12
Juan Mata,Manchester United,6.7,1295,18-19
Juan Mata,Manchester United,6.8,2902,15-16
Juan Mata,Manchester United,6.87,1933,17-18
Juan Mata,Manchester United,6.89,2309,14-15
Juan Mata,Manchester United,6.98,1628,16-17
Juan Mata,Manchester United,7.31,1231,13-14
Juanmi,Southampton,6.06,162,15-16
Julian Speroni,Crystal Palace,5.45,90,18-19
Julian Speroni,Crystal Palace,6.31,180,15-16
Julian Speroni,Crystal Palace,6.5,3205,14-15
Julian Speroni,Crystal Palace,6.63,990,17-18
Julian Speroni,Crystal Palace,6.8,3330,13-14
Juliano Belletti,Chelsea,6.68,484,09-10
Julien Faubert,West Ham,6.29,612,10-11
Julien Faubert,West Ham,6.76,2820,09-10
Julien Ngoy,Stoke,5.89,19,17-18
Julien Ngoy,Stoke,6.09,44,16-17
Julio César,Queens Park Rangers,6.78,2101,12-13
Juninho Bacuna,Huddersfield,6.49,1416,18-19
Junior Stanislas,Bournemouth,6.4,1027,18-19
Junior Stanislas,Bournemouth,6.87,1299,17-18
Junior Stanislas,Bournemouth,6.89,1442,15-16
Junior Stanislas,Bournemouth,6.93,1476,16-17
Junior Stanislas,West Ham,6.51,1241,09-10
Junior Stanislas,West Ham,6.51,349,10-11
Jussi Jääskeläinen,Bolton,6.54,1620,11-12
Jussi Jääskeläinen,Bolton,6.76,3096,10-11
Jussi Jääskeläinen,Bolton,6.82,3420,09-10
Jussi Jääskeläinen,West Ham,6.9,1620,13-14
Jussi Jääskeläinen,West Ham,6.91,3420,12-13
Jussi Jääskeläinen,West Ham,7.3,27,14-15
Ján Mucha,Everton,7.95,180,12-13
Jérémy Pied,Southampton,6.33,126,16-17
Jérémy Pied,Southampton,7.41,180,17-18
Jérôme Boateng,Manchester City,6.91,1239,10-11
Jô,Everton,6.32,520,09-10
Jô,Manchester City,6.28,343,10-11
Jürgen Locadia,Brighton,6.14,224,17-18
Jürgen Locadia,Brighton,6.27,1230,18-19
Kadeem Harris,Cardiff,6.37,366,18-19
Kader Mangane,Sunderland,6.21,19,12-13
Kagisho Dikgacoi,Crystal Palace,6.55,1957,13-14
Kagisho Dikgacoi,Fulham,6.05,4,10-11
Kagisho Dikgacoi,Fulham,6.4,587,09-10
Kamel Ghilas,Hull,6.3,582,09-10
Kamil Grosicki,Hull,6.59,1147,16-17
Kamil Zayatte,Hull,7.17,1872,09-10
Kanu,Portsmouth,6.34,818,09-10
Karim El Ahmadi,Aston Villa,6.48,1169,12-13
Karim El Ahmadi,Aston Villa,6.61,2188,13-14
Karim Rekik,Manchester City,7.15,84,12-13
Karl Darlow,Newcastle United,6.66,900,17-18
Karl Darlow,Newcastle United,7.08,810,15-16
Karl Henry,Queens Park Rangers,6.43,2506,14-15
Karl Henry,Wolverhampton Wanderers,6.55,2580,11-12
Karl Henry,Wolverhampton Wanderers,6.57,3036,09-10
Karl Henry,Wolverhampton Wanderers,6.59,2427,10-11
Karlan Grant,Huddersfield,6.42,874,18-19
Kasey Palmer,Huddersfield,6.32,169,17-18
Kaspars Gorkss,Reading,6.73,1260,12-13
Kasper Schmeichel,Leicester,6.54,3420,18-19
Kasper Schmeichel,Leicester,6.61,2966,17-18
Kasper Schmeichel,Leicester,6.63,2160,14-15
Kasper Schmeichel,Leicester,6.78,3420,15-16
Kasper Schmeichel,Leicester,6.84,2667,16-17
Kayne Ramsay,Southampton,6.09,90,18-19
Kazenga LuaLua,Newcastle United,6.21,47,10-11
Kei Kamara,Norwich,6.63,656,12-13
Keiren Westwood,Sunderland,6.33,853,13-14
Keiren Westwood,Sunderland,6.58,757,11-12
Keith Andrews,Blackburn,5.98,225,10-11
Keith Andrews,Blackburn,6.68,2115,09-10
Keith Andrews,West Bromwich Albion,6.59,786,11-12
Keith Fahey,Birmingham,6.4,1522,10-11
Keith Fahey,Birmingham,6.66,1696,09-10
Keith Southern,Blackpool,6.43,1084,10-11
Kelechi Iheanacho,Leicester,6.22,931,18-19
Kelechi Iheanacho,Leicester,6.48,827,17-18
Kelechi Iheanacho,Manchester City,6.4,528,16-17
Kelechi Iheanacho,Manchester City,6.56,753,15-16
Kelvin Davis,Southampton,5.94,180,13-14
Kelvin Davis,Southampton,6.34,616,14-15
Kelvin Davis,Southampton,6.5,855,12-13
Kelvin Davis,Southampton,6.77,90,15-16
Kemy Agustien,Swansea,6.28,564,12-13
Kemy Agustien,Swansea,6.45,713,11-12
Ken Sema,Watford,6.52,756,18-19
Kenedy,Chelsea,6.4,75,16-17
Kenedy,Chelsea,6.65,552,15-16
Kenedy,Newcastle United,6.53,1345,18-19
Kenedy,Newcastle United,6.95,1030,17-18
Kenedy,Watford,6.12,16,16-17
Kenji Gorré,Swansea,6.01,6,14-15
Kenneth Zohore,Cardiff,6.31,747,18-19
Kenwyne Jones,Cardiff,6.55,583,13-14
Kenwyne Jones,Stoke,6.23,975,11-12
Kenwyne Jones,Stoke,6.47,381,13-14
Kenwyne Jones,Stoke,6.62,1038,12-13
Kenwyne Jones,Stoke,7.23,2795,10-11
Kenwyne Jones,Sunderland,7.27,2185,09-10
Kepa Arrizabalaga,Chelsea,6.63,3240,18-19
Kerim Frei,Fulham,6.35,231,12-13
Kerim Frei,Fulham,6.4,673,11-12
Kevin Davies,Bolton,6.68,1870,11-12
Kevin Davies,Bolton,7.26,3316,09-10
Kevin Davies,Bolton,7.31,3387,10-11
Kevin De Bruyne,Chelsea,6.62,132,13-14
Kevin De Bruyne,Manchester City,7.05,978,18-19
Kevin De Bruyne,Manchester City,7.45,2004,15-16
Kevin De Bruyne,Manchester City,7.55,2885,16-17
Kevin De Bruyne,Manchester City,7.8,3085,17-18
Kevin Doyle,Crystal Palace,6.1,34,14-15
Kevin Doyle,Wolverhampton Wanderers,6.68,2350,11-12
Kevin Doyle,Wolverhampton Wanderers,6.8,2188,10-11
Kevin Doyle,Wolverhampton Wanderers,6.96,2899,09-10
Kevin Foley,Wolverhampton Wanderers,6.26,1069,11-12
Kevin Foley,Wolverhampton Wanderers,6.57,2728,10-11
Kevin Foley,Wolverhampton Wanderers,6.64,1983,09-10
Kevin Kilbane,Hull,6.53,1351,09-10
Kevin Long,Burnley,6.31,20,14-15
Kevin Long,Burnley,6.67,270,16-17
Kevin Long,Burnley,6.92,513,18-19
Kevin Long,Burnley,7.16,1440,17-18
Kevin Mbabu,Newcastle United,6.38,144,15-16
Kevin McDonald,Burnley,6.49,1458,09-10
Kevin McDonald,Fulham,6.15,843,18-19
Kevin McNaughton,Cardiff,6.32,281,13-14
Kevin Mirallas,Everton,6.18,138,17-18
Kevin Mirallas,Everton,6.55,1424,14-15
Kevin Mirallas,Everton,6.63,1005,15-16
Kevin Mirallas,Everton,6.86,2081,16-17
Kevin Mirallas,Everton,7.03,1836,12-13
Kevin Mirallas,Everton,7.11,2335,13-14
Kevin Nolan,Newcastle United,6.93,2658,10-11
Kevin Nolan,West Ham,6.08,57,15-16
Kevin Nolan,West Ham,6.56,1747,14-15
Kevin Nolan,West Ham,6.74,2694,13-14
Kevin Nolan,West Ham,6.78,2991,12-13
Kevin Phillips,Birmingham,6.19,485,10-11
Kevin Phillips,Birmingham,6.35,417,09-10
Kevin Phillips,Crystal Palace,6.0,76,13-14
Kevin Stewart,Liverpool,6.13,18,16-17
Kevin Stewart,Liverpool,6.94,564,15-16
Kevin Toner,Aston Villa,6.73,315,15-16
Kevin Wimmer,Stoke,6.52,1322,17-18
Kevin Wimmer,Tottenham,6.19,357,16-17
Kevin Wimmer,Tottenham,6.84,813,15-16
Kevin-Prince Boateng,Portsmouth,7.08,1847,09-10
Ki Sung-Yueng,Newcastle United,6.57,1302,18-19
Ki Sung-Yueng,Sunderland,6.8,2185,13-14
Ki Sung-Yueng,Swansea,6.1,13,13-14
Ki Sung-Yueng,Swansea,6.36,1287,16-17
Ki Sung-Yueng,Swansea,6.57,1853,15-16
Ki Sung-Yueng,Swansea,6.61,1870,17-18
Ki Sung-Yueng,Swansea,6.78,2037,12-13
Ki Sung-Yueng,Swansea,7.1,2690,14-15
Kieran Agard,Everton,6.0,1,09-10
Kieran Dowell,Everton,6.27,72,15-16
Kieran Gibbs,Arsenal,6.32,381,15-16
Kieran Gibbs,Arsenal,6.55,345,10-11
Kieran Gibbs,Arsenal,6.98,702,16-17
Kieran Gibbs,Arsenal,7.06,1253,11-12
Kieran Gibbs,Arsenal,7.06,1658,14-15
Kieran Gibbs,Arsenal,7.06,2055,13-14
Kieran Gibbs,Arsenal,7.11,2100,12-13
Kieran Gibbs,Arsenal,7.48,270,09-10
Kieran Gibbs,West Bromwich Albion,6.69,2831,17-18
Kieran Richardson,Aston Villa,6.22,723,15-16
Kieran Richardson,Aston Villa,6.36,1345,14-15
Kieran Richardson,Fulham,6.51,826,12-13
Kieran Richardson,Fulham,6.78,2381,13-14
Kieran Richardson,Sunderland,6.78,2418,09-10
Kieran Richardson,Sunderland,6.84,2285,11-12
Kieran Richardson,Sunderland,6.85,2041,10-11
Kieran Richardson,Sunderland,7.96,90,12-13
Kieran Trippier,Burnley,7.15,3416,14-15
Kieran Trippier,Tottenham,6.86,566,16-17
Kieran Trippier,Tottenham,7.04,1914,17-18
Kieran Trippier,Tottenham,7.1,2278,18-19
Kieran Trippier,Tottenham,7.26,458,15-16
Kieron Dyer,Queens Park Rangers,6.15,196,12-13
Kieron Dyer,Queens Park Rangers,6.33,7,11-12
Kieron Dyer,West Ham,6.32,608,10-11
Kieron Dyer,West Ham,6.37,359,09-10
Kiko Femenía,Watford,6.55,2046,18-19
Kiko Femenía,Watford,6.76,1715,17-18
Kim Bo-Kyung,Cardiff,6.48,1680,13-14
Kim Källström,Arsenal,6.61,128,13-14
Kolo Touré,Liverpool,6.52,711,14-15
Kolo Touré,Liverpool,6.76,859,15-16
Kolo Touré,Liverpool,6.91,1439,13-14
Kolo Touré,Manchester City,6.58,847,11-12
Kolo Touré,Manchester City,6.78,918,12-13
Kolo Touré,Manchester City,7.1,1846,10-11
Kolo Touré,Manchester City,7.29,2711,09-10
Konstantinos Mavropanos,Arsenal,6.3,195,17-18
Konstantinos Mavropanos,Arsenal,6.61,150,18-19
Konstantinos Stafylidis,Stoke,6.65,335,17-18
Kostas Mitroglou,Fulham,6.2,151,13-14
Kristoffer Nordfeldt,Swansea,6.29,90,16-17
Kristoffer Nordfeldt,Swansea,6.88,90,15-16
Kurt Zouma,Chelsea,6.23,247,16-17
Kurt Zouma,Chelsea,6.6,644,14-15
Kurt Zouma,Chelsea,6.87,1918,15-16
Kurt Zouma,Everton,6.78,2613,18-19
Kurt Zouma,Stoke,7.12,2888,17-18
Kyle Bartley,Swansea,6.61,234,17-18
Kyle Bartley,Swansea,6.65,284,15-16
Kyle Bartley,Swansea,6.8,630,14-15
Kyle Bartley,Swansea,6.84,91,13-14
Kyle Bartley,Swansea,6.87,147,12-13
Kyle Lafferty,Norwich,5.97,13,15-16
Kyle Naughton,Norwich,6.92,2703,11-12
Kyle Naughton,Swansea,6.67,1763,15-16
Kyle Naughton,Swansea,6.84,3033,17-18
Kyle Naughton,Swansea,6.93,2718,16-17
Kyle Naughton,Swansea,6.93,858,14-15
Kyle Naughton,Tottenham,6.0,1,09-10
Kyle Naughton,Tottenham,6.3,326,14-15
Kyle Naughton,Tottenham,6.71,1745,13-14
Kyle Naughton,Tottenham,7.06,1061,12-13
Kyle Walker,Aston Villa,7.27,1338,10-11
Kyle Walker,Manchester City,6.96,2777,18-19
Kyle Walker,Manchester City,7.05,2787,17-18
Kyle Walker,Tottenham,6.0,3,10-11
Kyle Walker,Tottenham,6.92,180,09-10
Kyle Walker,Tottenham,6.97,1307,14-15
Kyle Walker,Tottenham,7.06,2298,13-14
Kyle Walker,Tottenham,7.13,3231,11-12
Kyle Walker,Tottenham,7.16,3161,12-13
Kyle Walker,Tottenham,7.19,2943,15-16
Kyle Walker,Tottenham,7.2,2704,16-17
Kyle Walker-Peters,Tottenham,6.95,374,18-19
Kyle Walker-Peters,Tottenham,7.28,188,17-18
Kévin Théophile-Catherine,Cardiff,6.78,2357,13-14
Lacina Traoré,Everton,6.0,1,13-14
Lamine Koné,Sunderland,6.75,2545,16-17
Lamine Koné,Sunderland,7.27,1315,15-16
Landon Donovan,Everton,7.15,650,09-10
Landon Donovan,Everton,7.19,630,11-12
Larnell Cole,Fulham,6.19,10,13-14
Lars Jacobsen,Blackburn,6.33,1033,09-10
Lars Jacobsen,West Ham,6.45,1995,10-11
Lasse Sørensen,Stoke,7.06,76,17-18
Laurent Depoitre,Huddersfield,6.22,1062,18-19
Laurent Depoitre,Huddersfield,6.58,1811,17-18
Laurent Koscielny,Arsenal,6.92,1330,18-19
Laurent Koscielny,Arsenal,6.94,1673,12-13
Laurent Koscielny,Arsenal,7.04,2619,10-11
Laurent Koscielny,Arsenal,7.08,2227,17-18
Laurent Koscielny,Arsenal,7.24,2874,11-12
Laurent Koscielny,Arsenal,7.25,2824,16-17
Laurent Koscielny,Arsenal,7.34,2742,13-14
Laurent Koscielny,Arsenal,7.4,2288,14-15
Laurent Koscielny,Arsenal,7.48,2847,15-16
Lazar Markovic,Fulham,6.14,45,18-19
Lazar Markovic,Hull,6.8,1013,16-17
Lazar Markovic,Liverpool,6.67,935,14-15
Leander Dendoncker,Wolverhampton Wanderers,6.97,1469,18-19
Leandro Bacuna,Aston Villa,6.54,981,14-15
Leandro Bacuna,Aston Villa,6.63,2418,15-16
Leandro Bacuna,Aston Villa,6.76,2595,13-14
Leandro Bacuna,Cardiff,6.34,554,18-19
Ledley King,Tottenham,6.82,1795,11-12
Ledley King,Tottenham,7.21,1548,09-10
Ledley King,Tottenham,7.4,494,10-11
Lee Bowyer,Birmingham,6.47,2048,10-11
Lee Bowyer,Birmingham,7.0,3011,09-10
Lee Camp,Norwich,6.32,222,12-13
Lee Carsley,Birmingham,6.56,353,09-10
Lee Cattermole,Sunderland,6.49,640,16-17
Lee Cattermole,Sunderland,6.59,2217,15-16
Lee Cattermole,Sunderland,6.66,1760,13-14
Lee Cattermole,Sunderland,6.69,667,12-13
Lee Cattermole,Sunderland,6.83,1497,09-10
Lee Cattermole,Sunderland,6.83,2358,14-15
Lee Cattermole,Sunderland,6.84,1945,11-12
Lee Cattermole,Sunderland,6.97,1922,10-11
Lee Grant,Stoke,6.25,270,17-18
Lee Grant,Stoke,6.89,2520,16-17
Lee Peltier,Cardiff,6.54,1543,18-19
Lee Tomlin,Bournemouth,6.5,289,15-16
Leighton Baines,Everton,6.29,376,18-19
Leighton Baines,Everton,6.73,1910,17-18
Leighton Baines,Everton,6.86,1477,15-16
Leighton Baines,Everton,6.99,2822,16-17
Leighton Baines,Everton,7.13,2970,11-12
Leighton Baines,Everton,7.2,3420,10-11
Leighton Baines,Everton,7.23,3330,09-10
Leighton Baines,Everton,7.25,2840,13-14
Leighton Baines,Everton,7.26,2774,14-15
Leighton Baines,Everton,7.43,3420,12-13
Lennard Sowah,Portsmouth,6.68,340,09-10
Leon Balogun,Brighton,6.5,591,18-19
Leon Barnett,Norwich,6.49,562,12-13
Leon Barnett,Norwich,6.53,1227,11-12
Leon Best,Newcastle United,6.87,1167,11-12
Leon Best,Newcastle United,7.09,753,10-11
Leon Britton,Swansea,6.26,305,17-18
Leon Britton,Swansea,6.43,1176,16-17
Leon Britton,Swansea,6.57,537,14-15
Leon Britton,Swansea,6.58,1528,15-16
Leon Britton,Swansea,6.64,2533,12-13
Leon Britton,Swansea,6.68,3020,11-12
Leon Britton,Swansea,6.76,2022,13-14
Leon Cort,Burnley,6.76,1291,09-10
Leon Osman,Everton,6.09,218,15-16
Leon Osman,Everton,6.71,1276,14-15
Leon Osman,Everton,6.85,2174,13-14
Leon Osman,Everton,6.89,2378,11-12
Leon Osman,Everton,7.03,1995,09-10
Leon Osman,Everton,7.12,1809,10-11
Leon Osman,Everton,7.24,3186,12-13
Leonardo Ulloa,Brighton,6.27,262,17-18
Leonardo Ulloa,Leicester,6.12,19,17-18
Leonardo Ulloa,Leicester,6.34,435,16-17
Leonardo Ulloa,Leicester,6.6,970,15-16
Leonardo Ulloa,Leicester,6.85,2409,14-15
Leroy Fer,Norwich,6.89,2466,13-14
Leroy Fer,Queens Park Rangers,7.27,2368,14-15
Leroy Fer,Swansea,6.67,1399,17-18
Leroy Fer,Swansea,6.84,2405,16-17
Leroy Fer,Swansea,6.85,759,15-16
Leroy Lita,Swansea,5.93,34,13-14
Leroy Lita,Swansea,6.26,456,11-12
Leroy Sané,Manchester City,7.06,1788,16-17
Leroy Sané,Manchester City,7.26,1867,18-19
Leroy Sané,Manchester City,7.54,2423,17-18
Levi Lumeka,Crystal Palace,6.25,25,17-18
Lewis Cook,Bournemouth,6.36,722,18-19
Lewis Cook,Bournemouth,6.73,2239,17-18
Lewis Cook,Bournemouth,6.75,431,16-17
Lewis Dunk,Brighton,6.72,3153,18-19
Lewis Dunk,Brighton,7.02,3420,17-18
Lewis Grabban,Bournemouth,6.2,58,16-17
Lewis Grabban,Bournemouth,6.27,570,15-16
Lewis Grabban,Norwich,6.17,250,15-16
Lewis Holtby,Fulham,7.0,924,13-14
Lewis Holtby,Tottenham,6.26,29,14-15
Lewis Holtby,Tottenham,6.5,508,12-13
Lewis Holtby,Tottenham,6.64,569,13-14
Li Ke,Arsenal,7.14,45,11-12
Liam Bridcutt,Sunderland,6.48,847,13-14
Liam Bridcutt,Sunderland,6.56,908,14-15
Liam Cooper,Hull,6.52,124,09-10
Liam Lawrence,Stoke,6.74,1379,09-10
Liam Moore,Leicester,6.75,936,14-15
Liam O'Neil,West Bromwich Albion,6.02,15,13-14
Liam Ridgewell,Birmingham,6.66,3175,10-11
Liam Ridgewell,Birmingham,6.88,2745,09-10
Liam Ridgewell,West Bromwich Albion,6.68,2486,12-13
Liam Ridgewell,West Bromwich Albion,6.72,2871,13-14
Liam Ridgewell,West Bromwich Albion,7.0,1170,11-12
Liam Rosenior,Brighton,6.38,163,17-18
Liam Rosenior,Hull,6.51,577,14-15
Liam Rosenior,Hull,6.86,1988,13-14
Libor Kozák,Aston Villa,6.61,781,13-14
Libor Kozák,Aston Villa,6.62,258,15-16
Lloyd Isgrove,Southampton,6.18,8,14-15
Lorik Cana,Sunderland,7.11,2597,09-10
Loris Karius,Liverpool,6.34,900,16-17
Loris Karius,Liverpool,6.7,1710,17-18
Louis Laing,Sunderland,6.01,2,10-11
Louis Moult,Stoke,6.0,5,09-10
Louis Saha,Everton,6.45,1290,11-12
Louis Saha,Everton,6.79,1372,10-11
Louis Saha,Everton,7.03,2333,09-10
Louis Saha,Sunderland,6.13,181,12-13
Louis Saha,Tottenham,6.76,398,11-12
Loïc Damour,Cardiff,6.01,21,18-19
Loïc Rémy,Chelsea,6.26,285,15-16
Loïc Rémy,Chelsea,6.58,668,14-15
Loïc Rémy,Crystal Palace,6.2,131,16-17
Loïc Rémy,Newcastle United,7.15,2103,13-14
Loïc Rémy,Queens Park Rangers,6.62,180,14-15
Loïc Rémy,Queens Park Rangers,6.65,1188,12-13
Lucas Digne,Everton,7.36,2966,18-19
Lucas Leiva,Liverpool,6.68,1105,16-17
Lucas Leiva,Liverpool,6.97,1315,14-15
Lucas Leiva,Liverpool,7.07,1872,13-14
Lucas Leiva,Liverpool,7.08,1953,15-16
